HLA-A01:01:59	Unclassified	Rare
HLA-A01:01:60	Unclassified	Rare
HLA-A01:01:61	Unclassified	Rare
HLA-A01:01:62	Unclassified	Rare
HLA-A01:01:63	Unclassified	Rare
HLA-A01:01:64	Unclassified	Rare
HLA-A01:01:65	Unclassified	Rare
HLA-A01:01:66	Unclassified	Rare
HLA-A01:01:67	Unclassified	Rare
HLA-A01:01:68	Unclassified	Rare
HLA-A01:01:69	Unclassified	Rare
HLA-A01:01:70	Unclassified	Rare
HLA-A01:01:71	Unclassified	Rare
HLA-A01:01:72	Unclassified	Rare
HLA-A01:01:73	Unclassified	Rare
HLA-A01:01:74	Unclassified	Rare
HLA-A01:01:75	Unclassified	Rare
HLA-A01:01:76	Unclassified	Rare
HLA-A01:01:77	Unclassified	Rare
HLA-A01:01:78	Unclassified	Rare
HLA-A01:01:79	Unclassified	Rare
HLA-A01:01:80	Unclassified	Rare
HLA-A01:01:81	Unclassified	Rare
HLA-A01:01:82	Unclassified	Rare
HLA-A01:01:83	Unclassified	Rare
HLA-A01:01:84	Unclassified	Rare
HLA-A01:01:85	Unclassified	Rare
HLA-A01:01:86	Unclassified	Rare
HLA-A01:01:87	Unclassified	Rare
HLA-A01:01:88	Unclassified	Rare
HLA-A01:01:89	Unclassified	Rare
HLA-A01:01:90	Unclassified	Rare
HLA-A01:01:91	Unclassified	Rare
HLA-A01:01:92	Unclassified	Rare
HLA-A01:01:93	Unclassified	Rare
HLA-A01:01:94	Unclassified	Rare
HLA-A01:01:95	Unclassified	Rare
HLA-A01:01:96	Unclassified	Rare
HLA-A01:01:97	Unclassified	Rare
HLA-A01:01:98	Unclassified	Rare
HLA-A01:01:99	Unclassified	Rare
HLA-A01:02	Unclassified	Common or Well Defined
HLA-A01:03:01:01	Unclassified	Common or Well Defined
HLA-A01:03:01:02	Unclassified	Common or Well Defined
HLA-A01:03:02	Unclassified	Common or Well Defined
HLA-A01:06	Unclassified	Rare
HLA-A01:07	Unclassified	Rare
HLA-A01:08	Unclassified	Rare
HLA-A01:09:01:01	Unclassified	Rare
HLA-A01:09:01:02	Unclassified	Rare
HLA-A01:09:02	Unclassified	Rare
HLA-A01:10	Unclassified	Rare
HLA-A01:100	Unclassified	Rare
HLA-A01:101	Unclassified	Rare
HLA-A01:102	Unclassified	Rare
HLA-A01:103	Unclassified	Rare
HLA-A01:104	Unclassified	Rare
HLA-A01:105	Unclassified	Rare
HLA-A01:106	Unclassified	Rare
HLA-A01:107	Unclassified	Rare
HLA-A01:108	Unclassified	Rare
HLA-A01:109	Unclassified	Rare
HLA-A01:110	Unclassified	Rare
HLA-A01:111	Unclassified	Rare
HLA-A01:112	Unclassified	Rare
HLA-A01:113	Unclassified	Rare
HLA-A01:114	Unclassified	Rare
HLA-A01:115	Unclassified	Rare
HLA-A01:116	Unclassified	Rare
HLA-A01:117	Unclassified	Rare
HLA-A01:118	Unclassified	Rare
HLA-A01:119	Unclassified	Rare
HLA-A01:12	Unclassified	Rare
HLA-A01:120	Unclassified	Rare
HLA-A01:121	Unclassified	Rare
HLA-A01:122	Unclassified	Rare
HLA-A01:124	Unclassified	Rare
HLA-A01:125	Unclassified	Rare
HLA-A01:126	Unclassified	Rare
HLA-A01:127	Unclassified	Rare
HLA-A01:128	Unclassified	Rare
HLA-A01:129	Unclassified	Rare
HLA-A01:13	Unclassified	Rare
HLA-A01:130	Unclassified	Rare
HLA-A01:131	Unclassified	Rare
HLA-A01:132	Unclassified	Rare
HLA-A01:133	Unclassified	Rare
HLA-A01:134	Unclassified	Rare
HLA-A01:135	Unclassified	Rare
HLA-A01:136	Unclassified	Rare
HLA-A01:137	Unclassified	Rare
HLA-A01:138	Unclassified	Rare
HLA-A01:139	Unclassified	Rare
HLA-A01:14	Unclassified	Rare
HLA-A01:140	Unclassified	Rare
HLA-A01:141	Unclassified	Rare
HLA-A01:142	Unclassified	Rare
HLA-A01:143	Unclassified	Rare
HLA-A01:144	Unclassified	Rare
HLA-A01:145	Unclassified	Rare
HLA-A01:146	Unclassified	Rare
HLA-A01:147Q	Unclassified	Rare
HLA-A01:148	Unclassified	Rare
HLA-A01:149	Unclassified	Rare
HLA-A01:150	Unclassified	Rare
HLA-A01:151	Unclassified	Rare
HLA-A01:152	Unclassified	Rare
HLA-A01:153	Unclassified	Rare
HLA-A01:154	Unclassified	Rare
HLA-A01:155	Unclassified	Rare
HLA-A01:156	Unclassified	Rare
HLA-A01:157	Unclassified	Rare
HLA-A01:158	Unclassified	Rare
HLA-A01:159	Unclassified	Rare
HLA-A01:161	Unclassified	Rare
HLA-A01:163	Unclassified	Rare
HLA-A01:164	Unclassified	Rare
HLA-A01:165	Unclassified	Rare
HLA-A01:166	Unclassified	Rare
HLA-A01:167	Unclassified	Rare
HLA-A01:168	Unclassified	Rare
HLA-A01:169	Unclassified	Rare
HLA-A01:17	Unclassified	Rare
HLA-A01:170	Unclassified	Rare
HLA-A01:171	Unclassified	Rare
HLA-A01:172	Unclassified	Rare
HLA-A01:173	Unclassified	Rare
HLA-A01:174	Unclassified	Rare
HLA-A01:175	Unclassified	Rare
HLA-A01:176	Unclassified	Rare
HLA-A01:177	Unclassified	Rare
HLA-A01:180	Unclassified	Rare
HLA-A01:181	Unclassified	Rare
HLA-A01:182	Unclassified	Rare
HLA-A01:183	Unclassified	Rare
HLA-A01:184	Unclassified	Rare
HLA-A01:185	Unclassified	Rare
HLA-A01:187	Unclassified	Rare
HLA-A01:188	Unclassified	Rare
HLA-A01:189	Unclassified	Rare
HLA-A01:19	Unclassified	Rare
HLA-A01:190	Unclassified	Rare
HLA-A01:191	Unclassified	Rare
HLA-A01:192	Unclassified	Rare
HLA-A01:193	Unclassified	Rare
HLA-A01:194	Unclassified	Rare
HLA-A01:195	Unclassified	Rare
HLA-A01:196	Unclassified	Rare
HLA-A01:197	Unclassified	Rare
HLA-A01:198	Unclassified	Rare
HLA-A01:199	Unclassified	Rare
HLA-A01:20	Unclassified	Rare
HLA-A01:200	Unclassified	Rare
HLA-A01:201	Unclassified	Rare
HLA-A01:202	Unclassified	Rare
HLA-A01:203	Unclassified	Rare
HLA-A01:204	Unclassified	Rare
HLA-A01:205	Unclassified	Rare
HLA-A01:206	Unclassified	Rare
HLA-A01:207	Unclassified	Rare
HLA-A01:208Q	Unclassified	Rare
HLA-A01:209	Unclassified	Rare
HLA-A01:21	Unclassified	Rare
HLA-A01:210:01	Unclassified	Rare
HLA-A01:210:02	Unclassified	Rare
HLA-A01:211	Unclassified	Rare
HLA-A01:212	Unclassified	Rare
HLA-A01:213	Unclassified	Rare
HLA-A01:214	Unclassified	Rare
HLA-A01:215	Unclassified	Rare
HLA-A01:216	Unclassified	Rare
HLA-A01:217	Unclassified	Rare
HLA-A01:218	Unclassified	Rare
HLA-A01:219	Unclassified	Rare
HLA-A01:220	Unclassified	Rare
HLA-A01:221	Unclassified	Rare
HLA-A01:222	Unclassified	Rare
HLA-A01:223	Unclassified	Rare
HLA-A01:224	Unclassified	Rare
HLA-A01:225	Unclassified	Rare
HLA-A01:226	Unclassified	Rare
HLA-A01:227	Unclassified	Rare
HLA-A01:228Q	Unclassified	Rare
HLA-A01:229	Unclassified	Rare
HLA-A01:230	Unclassified	Rare
HLA-A01:231	Unclassified	Rare
HLA-A01:232:01	Unclassified	Rare
HLA-A01:232:02	Unclassified	Rare
HLA-A01:233	Unclassified	Rare
HLA-A01:234	Unclassified	Rare
HLA-A01:235	Unclassified	Rare
HLA-A01:236	Unclassified	Rare
HLA-A01:237	Unclassified	Rare
HLA-A01:238	Unclassified	Rare
HLA-A01:239	Unclassified	Rare
HLA-A01:23:01	Unclassified	Rare
HLA-A01:23:02	Unclassified	Rare
HLA-A01:24	Unclassified	Rare
HLA-A01:241	Unclassified	Rare
HLA-A01:242	Unclassified	Rare
HLA-A01:243	Unclassified	Rare
HLA-A01:244	Unclassified	Rare
HLA-A01:245	Unclassified	Rare
HLA-A01:246	Unclassified	Rare
HLA-A01:248Q	Unclassified	Rare
HLA-A01:249	Unclassified	Rare
HLA-A01:25	Unclassified	Rare
HLA-A01:251	Unclassified	Rare
HLA-A01:252	Unclassified	Rare
HLA-A01:253	Unclassified	Rare
HLA-A01:254	Unclassified	Rare
HLA-A01:255	Unclassified	Rare
HLA-A01:256	Unclassified	Rare
HLA-A01:257	Unclassified	Rare
HLA-A01:259	Unclassified	Rare
HLA-A01:26	Unclassified	Rare
HLA-A01:260	Unclassified	Rare
HLA-A01:261	Unclassified	Rare
HLA-A01:262	Unclassified	Rare
HLA-A01:263	Unclassified	Rare
HLA-A01:264	Unclassified	Rare
HLA-A01:265	Unclassified	Rare
HLA-A01:266:01	Unclassified	Rare
HLA-A01:266:02	Unclassified	Rare
HLA-A01:267	Unclassified	Rare
HLA-A01:268	Unclassified	Rare
HLA-A01:270	Unclassified	Rare
HLA-A01:271	Unclassified	Rare
HLA-A01:272	Unclassified	Rare
HLA-A01:273	Unclassified	Rare
HLA-A01:274	Unclassified	Rare
HLA-A01:275	Unclassified	Rare
HLA-A01:276	Unclassified	Rare
HLA-A01:277	Unclassified	Rare
HLA-A01:278	Unclassified	Rare
HLA-A01:279	Unclassified	Rare
HLA-A01:28	Unclassified	Rare
HLA-A01:280	Unclassified	Rare
HLA-A01:281Q	Unclassified	Rare
HLA-A01:282	Unclassified	Rare
HLA-A01:283	Unclassified	Rare
HLA-A01:284	Unclassified	Rare
HLA-A01:286	Unclassified	Rare
HLA-A01:288	Unclassified	Rare
HLA-A01:289	Bw4 - 80I	Rare
HLA-A01:29	Unclassified	Rare
HLA-A01:291	Unclassified	Rare
HLA-A01:292	Unclassified	Rare
HLA-A01:294	Unclassified	Rare
HLA-A01:295	Unclassified	Rare
HLA-A01:296	Unclassified	Rare
HLA-A01:297	Unclassified	Rare
HLA-A01:298	Unclassified	Rare
