"allele1"	"allele2"	"LILRB1simScore"	"LILRB2simScore"
HLA-A01:01	HLA-A02:01	0.583333333333333	0.943820224719101
HLA-A01:01	HLA-A02:03	0.683333333333333	0.808988764044944
HLA-A01:01	HLA-A02:06	0.866666666666667	0.966292134831461
HLA-A01:01	HLA-A03:01	0.916666666666667	0.955056179775281
HLA-A01:01	HLA-A11:01	0.8	0.921348314606741
HLA-A01:01	HLA-A11:02	0.55	0.719101123595506
HLA-A01:01	HLA-A23:01	0.966666666666667	0.955056179775281
HLA-A01:01	HLA-A24:02	0.883333333333333	1
HLA-A01:01	HLA-A24:03	0.916666666666667	0.51685393258427
HLA-A01:01	HLA-A25:01	0.583333333333333	0.98876404494382
HLA-A01:01	HLA-A26:01	0.583333333333333	0.865168539325843
HLA-A01:01	HLA-A29:01	0.7	0.98876404494382
HLA-A01:01	HLA-A29:02	0.616666666666667	0.97752808988764
HLA-A01:01	HLA-A30:01	0.666666666666667	0.775280898876405
HLA-A01:01	HLA-A30:02	0.75	0.831460674157303
HLA-A01:01	HLA-A31:01	0.8	0.921348314606741
HLA-A01:01	HLA-A32:01	0.566666666666667	0.966292134831461
HLA-A01:01	HLA-A33:01	0.516666666666667	0.966292134831461
HLA-A01:01	HLA-A33:03	0.6	0.876404494382023
HLA-A01:01	HLA-A34:01	0.633333333333333	0.977528089887641
HLA-A01:01	HLA-A34:02	0.833333333333333	0.943820224719101
HLA-A01:01	HLA-A36:01	0.733333333333333	0.831460674157303
HLA-A01:01	HLA-A43:01	0.516666666666667	0.820224719101124
HLA-A01:01	HLA-A66:01	0.833333333333333	0.775280898876405
HLA-A01:01	HLA-A66:02	0.733333333333333	0.97752808988764
HLA-A01:01	HLA-A68:01	0.616666666666667	0.865168539325843
HLA-A01:01	HLA-A68:02	0.583333333333333	0.865168539325843
HLA-A01:01	HLA-A69:01	0.7	0.887640449438202
HLA-A01:01	HLA-A74:01	0.466666666666667	0.97752808988764
HLA-A01:01	HLA-A74:02	0.466666666666667	0.97752808988764
HLA-A01:01	HLA-A80:01	0.6	0.98876404494382
HLA-A01:01	HLA-B07:02	0.766666666666667	0.98876404494382
HLA-A01:01	HLA-B08:01	0.966666666666667	0.977528089887641
HLA-A01:01	HLA-B13:01	0.6	0.943820224719101
HLA-A01:01	HLA-B13:02	0.7	0.808988764044944
HLA-A01:01	HLA-B14:01	0.85	0.831460674157303
HLA-A01:01	HLA-B14:02	0.75	0.617977528089888
HLA-A01:01	HLA-B15:01	0.916666666666667	0.876404494382022
HLA-A01:01	HLA-B15:02	0.983333333333333	0.707865168539326
HLA-A01:01	HLA-B15:03	0.983333333333333	0.932584269662921
HLA-A01:01	HLA-B15:10	0.766666666666667	0.606741573033708
HLA-A01:01	HLA-B15:11	0.85	0.910112359550562
HLA-A01:01	HLA-B15:12	0.95	0.808988764044944
HLA-A01:01	HLA-B15:13	0.716666666666667	0.797752808988764
HLA-A01:01	HLA-B15:16	0.85	0.730337078651685
HLA-A01:01	HLA-B18:01	0.933333333333333	0.876404494382023
HLA-A01:01	HLA-B27:05	0.85	0.539325842696629
HLA-A01:01	HLA-B27:08	0.783333333333333	0.719101123595506
HLA-A01:01	HLA-B35:01	1	0.842696629213483
HLA-A01:01	HLA-B38:01	0.9	0.820224719101124
HLA-A01:01	HLA-B39:01	0.983333333333333	0.741573033707865
HLA-A01:01	HLA-B40:01	0.7	0.831460674157303
HLA-A01:01	HLA-B40:02	0.783333333333333	0.752808988764045
HLA-A01:01	HLA-B40:06	0.8	0.955056179775281
HLA-A01:01	HLA-B41:01	0.95	0.820224719101124
HLA-A01:01	HLA-B42:01	0.9	0.808988764044944
HLA-A01:01	HLA-B44:02	0.716666666666667	0.786516853932584
HLA-A01:01	HLA-B44:03	0.716666666666667	0.561797752808989
HLA-A01:01	HLA-B45:01	0.85	0.98876404494382
HLA-A01:01	HLA-B46:01	0.916666666666667	0.977528089887641
HLA-A01:01	HLA-B48:01	0.633333333333333	0.966292134831461
HLA-A01:01	HLA-B49:01	0.5	0.651685393258427
