KIR2DL1	C2
KIR2DS1	C2
KIR2DL2	C1;C2
KIR2DL3	C1
KIR2DS2	C1
KIR2DL4	HLA-G
KIR2DL5	Unknown
KIR2DS3	Unknown
KIR2DS4	A11; C1;C2
KIR2DS5	Unknown
KIR3DL1	Bw4
KIR3DS1	Bw4-80I
KIR3DL2	A03;A11;B27
KIR3DL3	Unknown
