first_allele	second_allele	lilrb1_simscore	lilrb2_simscore
HLA-B82:01	HLA-C02:02	0.72	0.85
HLA-B82:01	HLA-C03:02	0.62	0.87
HLA-B82:01	HLA-C03:03	0.73	0.88
HLA-B82:01	HLA-C03:04	0.95	0.96
HLA-B82:01	HLA-C04:01	0.47	0.74
HLA-B82:01	HLA-C05:01	0.8	0.91
HLA-B82:01	HLA-C06:02	0.92	0.61
HLA-B82:01	HLA-C07:02	0.65	0.76
HLA-B82:01	HLA-C08:01	0.77	0.94
HLA-B82:01	HLA-C12:03	0.75	0.85
HLA-B82:01	HLA-C14:02	0.67	0.9
HLA-B82:01	HLA-C15:02	1	0.96
HLA-B82:01	HLA-C16:01	0.63	0.9
HLA-B82:01	HLA-C17:01	0.53	0.84
HLA-B82:01	HLA-C18:02	0.88	0.78
HLA-C01:02	HLA-C02:02	0.75	0.83
HLA-C01:02	HLA-C03:02	0.85	0.89
HLA-C01:02	HLA-C03:03	0.73	0.9
HLA-C01:02	HLA-C03:04	0.42	0.98
HLA-C01:02	HLA-C04:01	1	0.76
HLA-C01:02	HLA-C05:01	0.67	0.89
HLA-C01:02	HLA-C06:02	0.55	0.58
HLA-C01:02	HLA-C07:02	0.82	0.74
HLA-C01:02	HLA-C08:01	0.7	0.97
HLA-C01:02	HLA-C12:03	0.72	0.83
HLA-C01:02	HLA-C14:02	0.8	0.88
HLA-C01:02	HLA-C15:02	0.47	0.93
HLA-C01:02	HLA-C16:01	0.83	0.88
HLA-C01:02	HLA-C17:01	0.93	0.87
HLA-C01:02	HLA-C18:02	0.58	0.75
HLA-C02:02	HLA-C03:02	0.9	0.72
HLA-C02:02	HLA-C03:03	0.98	0.73
HLA-C02:02	HLA-C03:04	0.67	0.81
HLA-C02:02	HLA-C04:01	0.75	0.6
HLA-C02:02	HLA-C05:01	0.92	0.94
HLA-C02:02	HLA-C06:02	0.8	0.75
HLA-C02:02	HLA-C07:02	0.93	0.91
HLA-C02:02	HLA-C08:01	0.95	0.8
HLA-C02:02	HLA-C12:03	0.97	1
HLA-C02:02	HLA-C14:02	0.95	0.96
HLA-C02:02	HLA-C15:02	0.72	0.9
HLA-C02:02	HLA-C16:01	0.92	0.96
HLA-C02:02	HLA-C17:01	0.82	0.7
HLA-C02:02	HLA-C18:02	0.83	0.92
HLA-C03:02	HLA-C03:03	0.88	0.99
HLA-C03:02	HLA-C03:04	0.57	0.91
HLA-C03:02	HLA-C04:01	0.85	0.88
HLA-C03:02	HLA-C05:01	0.82	0.78
HLA-C03:02	HLA-C06:02	0.7	0.47
HLA-C03:02	HLA-C07:02	0.97	0.63
HLA-C03:02	HLA-C08:01	0.85	0.92
HLA-C03:02	HLA-C12:03	0.87	0.72
HLA-C03:02	HLA-C14:02	0.95	0.76
HLA-C03:02	HLA-C15:02	0.62	0.82
HLA-C03:02	HLA-C16:01	0.98	0.76
HLA-C03:02	HLA-C17:01	0.92	0.98
HLA-C03:02	HLA-C18:02	0.73	0.64
HLA-C03:03	HLA-C03:04	0.68	0.92
HLA-C03:03	HLA-C04:01	0.73	0.87
HLA-C03:03	HLA-C05:01	0.93	0.79
HLA-C03:03	HLA-C06:02	0.82	0.48
HLA-C03:03	HLA-C07:02	0.92	0.64
HLA-C03:03	HLA-C08:01	0.97	0.93
HLA-C03:03	HLA-C12:03	0.98	0.73
HLA-C03:03	HLA-C14:02	0.93	0.78
HLA-C03:03	HLA-C15:02	0.73	0.83
HLA-C03:03	HLA-C16:01	0.9	0.78
HLA-C03:03	HLA-C17:01	0.8	0.97
HLA-C03:03	HLA-C18:02	0.85	0.65
HLA-C03:04	HLA-C04:01	0.42	0.79
HLA-C03:04	HLA-C05:01	0.75	0.87
HLA-C03:04	HLA-C06:02	0.87	0.56
HLA-C03:04	HLA-C07:02	0.6	0.72
HLA-C03:04	HLA-C08:01	0.72	0.99
HLA-C03:04	HLA-C12:03	0.7	0.81
HLA-C03:04	HLA-C14:02	0.62	0.85
HLA-C03:04	HLA-C15:02	0.95	0.91
HLA-C03:04	HLA-C16:01	0.58	0.85
HLA-C03:04	HLA-C17:01	0.48	0.89
HLA-C03:04	HLA-C18:02	0.83	0.73
HLA-C04:01	HLA-C05:01	0.67	0.65
HLA-C04:01	HLA-C06:02	0.55	0.35
HLA-C04:01	HLA-C07:02	0.82	0.51
HLA-C04:01	HLA-C08:01	0.7	0.8
HLA-C04:01	HLA-C12:03	0.72	0.6
HLA-C04:01	HLA-C14:02	0.8	0.64
HLA-C04:01	HLA-C15:02	0.47	0.7
HLA-C04:01	HLA-C16:01	0.83	0.64
HLA-C04:01	HLA-C17:01	0.93	0.9
HLA-C04:01	HLA-C18:02	0.58	0.52
HLA-C05:01	HLA-C06:02	0.88	0.7
HLA-C05:01	HLA-C07:02	0.85	0.85
HLA-C05:01	HLA-C08:01	0.97	0.85
HLA-C05:01	HLA-C12:03	0.95	0.94
HLA-C05:01	HLA-C14:02	0.87	0.99
HLA-C05:01	HLA-C15:02	0.8	0.96
HLA-C05:01	HLA-C16:01	0.83	0.99
HLA-C05:01	HLA-C17:01	0.73	0.75
HLA-C05:01	HLA-C18:02	0.92	0.87
HLA-C06:02	HLA-C07:02	0.73	0.84
HLA-C06:02	HLA-C08:01	0.85	0.55
HLA-C06:02	HLA-C12:03	0.83	0.75
HLA-C06:02	HLA-C14:02	0.75	0.71
HLA-C06:02	HLA-C15:02	0.92	0.65
HLA-C06:02	HLA-C16:01	0.72	0.71
HLA-C06:02	HLA-C17:01	0.62	0.45
HLA-C06:02	HLA-C18:02	0.97	0.83
HLA-C07:02	HLA-C08:01	0.88	0.71
HLA-C07:02	HLA-C12:03	0.9	0.91
HLA-C07:02	HLA-C14:02	0.98	0.87
HLA-C07:02	HLA-C15:02	0.65	0.81
HLA-C07:02	HLA-C16:01	0.98	0.87
HLA-C07:02	HLA-C17:01	0.88	0.61
HLA-C07:02	HLA-C18:02	0.77	0.99
HLA-C08:01	HLA-C12:03	0.98	0.8
HLA-C08:01	HLA-C14:02	0.9	0.84
HLA-C08:01	HLA-C15:02	0.77	0.9
HLA-C08:01	HLA-C16:01	0.87	0.84
HLA-C08:01	HLA-C17:01	0.77	0.9
HLA-C08:01	HLA-C18:02	0.88	0.72
HLA-C12:03	HLA-C14:02	0.92	0.96
HLA-C12:03	HLA-C15:02	0.75	0.9
HLA-C12:03	HLA-C16:01	0.88	0.96
HLA-C12:03	HLA-C17:01	0.78	0.7
HLA-C12:03	HLA-C18:02	0.87	0.92
HLA-C14:02	HLA-C15:02	0.67	0.94
HLA-C14:02	HLA-C16:01	0.97	1
HLA-C14:02	HLA-C17:01	0.87	0.74
HLA-C14:02	HLA-C18:02	0.78	0.88
HLA-C15:02	HLA-C16:01	0.63	0.94
HLA-C15:02	HLA-C17:01	0.53	0.8
HLA-C15:02	HLA-C18:02	0.88	0.82
HLA-C16:01	HLA-C17:01	0.9	0.74
HLA-C16:01	HLA-C18:02	0.75	0.88
HLA-C17:01	HLA-C18:02	0.65	0.62
